metrics
AccountsPayable
AccountsPayableCurrent
AccountsReceivableNetCurrent
AccruedIncomeTaxesCurrent
AccruedIncomeTaxesNoncurrent
AccruedLiabilities
AccruedMarketingCostsCurrent
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment
AccumulatedOtherComprehensiveIncomeLossNetOfTax
AmortizationOfIntangibleAssets
Assets
AssetsCurrent
CapitalExpendituresIncurredButNotYetPaid
Cash
CashEquivalentsAtCarryingValue
CommitmentsAndContingencies
CommonStockValue
ComprehensiveIncomeNetOfTax
ContractWithCustomerLiability
ContractWithCustomerLiabilityCurrent
CostOfGoodsAndServicesSold
CostOfGoodsAndServicesSoldDepreciation
DeferredIncomeTaxLiabilities
DeferredIncomeTaxLiabilitiesNet
DeferredRevenueCurrent
DeferredRevenueNoncurrent
DeferredTaxAssetsPropertyPlantAndEquipment
DeferredTaxLiabilities
DeferredTaxLiabilitiesNoncurrent
Depreciation
DepreciationAndAmortization
DepreciationDepletionAndAmortization
Dividends
EarningsPerShareBasic
EarningsPerShareDiluted
FairValueHedgesAtFairValueNet
FinanceLeaseLiability
GainLossOnSaleOfPropertyPlantEquipment
Goodwill
GoodwillImpairmentLoss
GrossProfit
IncomeTaxesPaidNet
IncreaseDecreaseInInventories
InterestExpense
InventoryNet
InventoryPartsAndComponentsNetOfReserves
InventoryWorkInProcessAndRawMaterialsNetOfReserves
Liabilities
LiabilitiesAndStockholdersEquity
LiabilitiesCurrent
LongTermDebt
LongTermDebtCurrent
LongTermPurchaseCommitmentAmount
MarketableSecuritiesCurrent
MarketableSecuritiesNoncurrent
MarketableSecuritiesRealizedGainLoss
MarketingExpense
NetCashProvidedByUsedInFinancingActivities
NetCashProvidedByUsedInInvestingActivities
NetCashProvidedByUsedInOperatingActivities
NetIncomeLoss
NonoperatingIncomeExpense
OperatingExpenses
OtherAccruedLiabilitiesCurrent
OtherAccruedLiabilitiesNoncurrent
OtherAssetsCurrent
OtherAssetsNoncurrent
OtherLiabilitiesCurrent
OtherLiabilitiesNoncurrent
PropertyPlantAndEquipmentGross
PropertyPlantAndEquipmentNet
RevenueFromContractWithCustomerExcludingAssessedTax
Revenues
ShortTermDebtWeightedAverageInterestRate
StockholdersEquity
TaxesPayableCurrent
WeightedAverageNumberOfDilutedSharesOutstanding
WeightedAverageNumberOfSharesOutstandingBasic
