Walmart Inc. (NYSE:WMT)
Amazon.com, Inc. (NasdaqGS:AMZN)
China Petroleum & Chemical Corporation (SEHK:386)
Apple Inc. (NasdaqGS:AAPL)
CVS Health Corporation (NYSE:CVS)
Toyota Motor Corporation (TSE:7203)
Berkshire Hathaway Inc. (NYSE:BRK.A)
McKesson Corporation (NYSE:MCK)
Exxon Mobil Corporation (NYSE:XOM)
Alphabet Inc. (NasdaqGS:GOOG.L)
Royal Dutch Shell plc (ENXTAM:RDSA)
AmerisourceBergen Corporation (NYSE:ABC)
BP p.l.c. (LSE:BP.)
Costco Wholesale Corporation (NasdaqGS:COST)
Microsoft Corporation (NasdaqGS:MSFT)
AT&T Inc. (NYSE:T)
Cardinal Health, Inc. (NYSE:CAH)
TotalEnergies SE (ENXTPA:TTE)
The Home Depot, Inc. (NYSE:HD)
The Kroger Co. (NYSE:KR)
Walgreens Boots Alliance, Inc. (NasdaqGS:WBA)
Ford Motor Company (NYSE:F)
Chevron Corporation (NYSE:CVX)
Verizon Communications Inc. (NYSE:VZ)
JPMorgan Chase & Co. (NYSE:JPM)
General Motors Company (NYSE:GM)
Alibaba Group Holding Limited (NYSE:BABA)
Comcast Corporation (NasdaqGS:CMCS.A)
Dell Technologies Inc. (NYSE:DELL)
Target Corporation (NYSE:TGT)
Marathon Petroleum Corporation (NYSE:MPC)
Phillips 66 (NYSE:PSX)
Lowe's Companies, Inc. (NYSE:LOW)
Valero Energy Corporation (NYSE:VLO)
United Parcel Service, Inc. (NYSE:UPS)
Johnson & Johnson (NYSE:JNJ)
Bank of America Corporation (NYSE:BAC)
FedEx Corporation (NYSE:FDX)
Sony Group Corporation (TSE:6758)
Archer-Daniels-Midland Company (NYSE:ADM)
T-Mobile US, Inc. (NasdaqGS:TMUS)
General Electric Company (NYSE:GE)
Intel Corporation (NasdaqGS:INTC)
Wells Fargo & Company (NYSE:WFC)
The Procter & Gamble Company (NYSE:PG)
PepsiCo, Inc. (NasdaqGS:PEP)
International Business Machines Corporation (NYSE:IBM)
Citigroup Inc. (NYSE:C)
Brookfield Asset Management Inc. (TSX:BAM.A)
Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4)
ArcelorMittal (ENXTAM:MT)
Eni S.p.A. (BIT:ENI)
Albertsons Companies, Inc. (NYSE:ACI)
Equinor ASA (OB:EQNR)
Pfizer Inc. (NYSE:PFE)
The Walt Disney Company (NYSE:DIS)
Lockheed Martin Corporation (NYSE:LMT)
Raytheon Technologies Corporation (NYSE:RTX)
HP Inc. (NYSE:HPQ)
The Boeing Company (NYSE:BA)
Unilever PLC (LSE:ULVR)
Energy Transfer LP (NYSE:ET)
Morgan Stanley (NYSE:MS)
The Goldman Sachs Group, Inc. (NYSE:GS)
HCA Healthcare, Inc. (NYSE:HCA)
Sysco Corporation (NYSE:SYY)
Vale S.A. (BOVESPA:VALE3)
AbbVie Inc. (NYSE:ABBV)
Bunge Limited (NYSE:BG)
Taiwan Semiconductor Manufacturing Company Limited (TWSE:2330)
Accenture plc (NYSE:ACN)
Telefónica, S.A. (BME:TEF)
Merck & Co., Inc. (NYSE:MRK)
Novartis AG (SWX:NOVN)
Best Buy Co., Inc. (NYSE:BBY)
Prudential plc (LSE:PRU)
Vodafone Group Public Limited Company (LSE:VOD)
Charter Communications, Inc. (NasdaqGS:CHTR)
Cisco Systems, Inc. (NasdaqGS:CSCO)
Korea Electric Power Corporation (KOSE:A015760)
Orange S.A. (ENXTPA:ORA)
HSBC Holdings plc (LSE:HSBA)
América Móvil, S.A.B. de C.V. (BMV:AMX L)
Caterpillar Inc. (NYSE:CAT)
American International Group, Inc. (NYSE:AIG)
Tyson Foods, Inc. (NYSE:TSN)
Tesla, Inc. (NasdaqGS:TSLA)
NIKE, Inc. (NYSE:NKE)
Manulife Financial Corporation (TSX:MFC)
The TJX Companies, Inc. (NYSE:TJX)
Bristol-Myers Squibb Company (NYSE:BMY)
GlaxoSmithKline plc (LSE:GSK)
Sanofi (ENXTPA:SAN)
Deere & Company (NYSE:DE)
StoneX Group Inc. (NasdaqGS:SNEX)
Abbott Laboratories (NYSE:ABT)
Oracle Corporation (NYSE:ORCL)
LyondellBasell Industries N.V. (NYSE:LYB)
American Express Company (NYSE:AXP)
Royal Bank of Canada (TSX:RY)
Chubb Limited (NYSE:CB)
Tata Motors Limited (BSE:500570)
Thermo Fisher Scientific Inc. (NYSE:TMO)
General Dynamics Corporation (NYSE:GD)
The Coca-Cola Company (NYSE:KO)
Magna International Inc. (TSX:MG)
Northrop Grumman Corporation (NYSE:NOC)
ConocoPhillips (NYSE:COP)
Enterprise Products Partners L.P. (NYSE:EPD)
British American Tobacco p.l.c. (LSE:BATS)
3M Company (NYSE:MMM)
Enbridge Inc. (TSX:ENB)
Plains All American Pipeline, L.P. (NasdaqGS:PAA)
UBS Group AG (SWX:UBSG)
Exelon Corporation (NasdaqGS:EXC)
Honeywell International Inc. (NasdaqGS:HON)
The Toronto-Dominion Bank (TSX:TD)
The Travelers Companies, Inc. (NYSE:TRV)
Dollar General Corporation (NYSE:DG)
Arrow Electronics, Inc. (NYSE:ARW)
QUALCOMM Incorporated (NasdaqGS:QCOM)
CNH Industrial N.V. (NYSE:CNHI)
AstraZeneca PLC (LSE:AZN)
SAP SE (XTRA:SAP)
Medtronic plc (NYSE:MDT)
Capital One Financial Corporation (NYSE:COF)
TD SYNNEX Corporation (NYSE:SNX)
Banco Santander, S.A. (BME:SAN)
Canon Inc. (TSE:7751)
Nucor Corporation (NYSE:NUE)
